SITE,BO95_1,BO95_2,BO95_3,BO95_4,BO95_5,BO95_6,BO95_7,BO95_8,BO95_9,BO95_10,BO95_11,BO95_12,BO96_1,BO96_2,BO96_3,BO96_4,BO96_5,BO96_6,BO96_7,BO96_8,BO96_9,BO96_10,BO96_11,BO96_12,BO97_1,BO97_2,BO97_3,BO97_4,BO97_5,BO97_6,BO97_7,BO97_8,BO97_9,BO97_10,BO97_11,BO97_12,BO98_1,BO98_2,BO98_3,BO98_4,BO98_5,BO98_6,BO98_7,BO98_8,BO98_9,BO98_10,BO98_11,BO98_12,BO99_1,BO99_2,BO99_3,BO99_4,BO99_5,BO99_6,BO99_7,BO99_8,BO99_9,BO99_10,BO99_11,BO99_12,BO00_1,BO00_2,BO00_3,BO00_4,BO00_5,BO00_6,BO00_7,BO00_8,BO00_9,BO00_10,BO00_11,BO00_12,BO01_1,BO01_2,BO01_3,BO01_4,BO01_5,BO01_6,BO01_7,BO01_8,BO01_9,BO01_10,BO01_11,BO01_12,BO02_1,BO02_2,BO02_3,BO02_4,BO02_5,BO02_6,BO02_7,BO02_8,BO02_9,BO02_10,BO02_11,BO02_12,BO03_1,BO03_2,BO03_3,BO03_4,BO03_5,BO03_6,BO03_7,BO03_8,BO03_9,BO03_10,BO03_11,BO03_12,BO04_1,BO04_2,BO04_3,BO04_4,BO04_5,BO04_6,BO04_7,BO04_8,BO04_9,BO04_10,BO04_11,BO04_12,BO05_1,BO05_2,BO05_3,BO05_4,BO05_5,BO05_6,BO05_7,BO05_8,BO05_9,BO05_10,BO05_11,BO05_12,BO06_1,BO06_2,BO06_3,BO06_4,BO06_5,BO06_6,BO06_7,BO06_8,BO06_9,BO06_10,BO06_11,BO06_12,BO07_1,BO07_2,BO07_3,BO07_4,BO07_5,BO07_6,BO07_7,BO07_8,BO07_9,BO07_10,BO07_11,BO07_12,BO08_1,BO08_2,BO08_3,BO08_4,BO08_5,BO08_6,BO08_7,BO08_8,BO08_9,BO08_10,BO08_11,BO08_12,BO09_1,BO09_2,BO09_3,BO09_4,BO09_5,BO09_6,BO09_7,BO09_8,BO09_9,BO09_10,BO09_11,BO09_12,BO10_1,BO10_2,BO10_3,BO10_4,BO10_5,BO10_6,BO10_7,BO10_8,BO10_9,BO10_10,BO10_11,BO10_12,BO11_1,BO11_2,BO11_3,BO11_4,BO11_5,BO11_6,BO11_7,BO11_8,BO11_9,BO11_10,BO11_11,BO11_12,BO12_1,BO12_2,BO12_3,BO12_4,BO12_5,BO12_6,BO12_7,BO12_8,BO12_9,BO12_10,BO12_11,BO12_12,BO13_1,BO13_2,BO13_3,BO13_4,BO13_5,BO13_6,BO13_7,BO13_8,BO13_9,BO13_10,BO13_11,BO13_12,BO14_1,BO14_2,BO14_3,BO14_4,BO14_5,BO14_6,BO14_7,BO14_8,BO14_9,BO14_10,BO14_11,BO14_12,BO15_1,BO15_2,BO15_3,BO16_1,BO16_2,BO16_3,OV15_1,OV15_2,OV15_3,OV16_1,OV16_2,OV16_3,PHAB_95,PHAB_96,PHAB_97,PHAB_98,PHAB_99,PHAB_00,PHAB_01,PHAB_02,PHAB_03,PHAB_04,PHAB_05,PHAB_06,PHAB_07,PHAB_08,PHAB_09,PHAB_10,PHAB_11,PHAB_12,PHAB_13,PHAB_14,PHAB_15
43,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,0,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,1,0,NA,0,NA,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,NA,0,NA,1,0,0,NA,NA,NA,0,0,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,1,NA,NA,NA,0,0.267,1,0,0,0,0.048,0.051,0.048,0.048,0.044,0.049,0.047,0.042,0.043,0.036,0.029,0.025,0.023,0.02,0.025,0.026,0.023,0.02,0.02,0.019,0.018
44,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,1,0,NA,NA,0,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,1,NA,0,NA,NA,0,1,0,NA,0,0,NA,NA,NA,NA,0,NA,1,0,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA,1,0,NA,0,0,NA,NA,NA,1,NA,0,NA,0,0,NA,0,NA,0,NA,NA,0,0,1,0,NA,1,1,0,0,1,NA,4,1,NA,NA,NA,0,0.89,1,0,0,0,0.153,0.152,0.158,0.159,0.151,0.148,0.145,0.142,0.139,0.122,0.121,0.122,0.131,0.133,0.13,0.12,0.117,0.103,0.101,0.085,0.083
45,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,0,1,NA,NA,NA,NA,4,1,3,3,1,2,0.849,0.849,0.978,0.978,0.633,0.302,0.793,0.797,0.797,0.794,0.794,0.794,0.791,0.792,0.791,0.79,0.793,0.793,0.794,0.796,0.79,0.788,0.788,0.783,0.783,0.783,0.783
46,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,1,0,NA,NA,1,NA,NA,1,1,1,0,0,0,1,3,NA,2,0.1,0.1,0.899,0.899,0,0.978,0.519,0.516,0.517,0.517,0.5,0.502,0.499,0.498,0.498,0.5,0.499,0.496,0.496,0.494,0.488,0.487,0.485,0.482,0.482,0.482,0.482
47,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,1,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,1,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,1,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,1,1,NA,NA,0,NA,NA,1,2,1,NA,NA,NA,0.209,0.84,0.845,0,0,0,0.114,0.118,0.12,0.125,0.128,0.128,0.129,0.129,0.129,0.13,0.132,0.067,0.066,0.066,0.066,0.065,0.063,0.057,0.056,0.055,0.055
48,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,4,4,NA,NA,NA,0,0.703,1,0,0,0,0.155,0.155,0.157,0.155,0.157,0.159,0.161,0.161,0.162,0.169,0.174,0.175,0.178,0.17,0.162,0.156,0.152,0.147,0.146,0.124,0.123
49,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,0,0,1,NA,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,1,NA,1,NA,NA,NA,0,0,1,NA,NA,0,1,1,NA,NA,0,NA,NA,1,0,NA,NA,NA,1,0,NA,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,4,0,6,3,0.045,0.074,0.795,0.283,0.565,1,0.417,0.421,0.419,0.418,0.423,0.422,0.424,0.422,0.423,0.423,0.424,0.415,0.412,0.407,0.401,0.4,0.399,0.391,0.389,0.388,0.388
50,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,NA,1,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,4,6,3,1,2,1,0.559,1,1,0.299,0.777,0.63,0.187,0.19,0.19,0.192,0.196,0.197,0.199,0.204,0.199,0.2,0.199,0.197,0.19,0.183,0.181,0.179,0.179,0.175,0.175,0.175,0.175
51,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,0,1,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,1,1,5,4,0,0.945,0.256,0.253,0.945,0.633,0.045,0.046,0.048,0.049,0.05,0.05,0.05,0.049,0.048,0.045,0.044,0.043,0.042,0.044,0.042,0.041,0.039,0.038,0.038,0.038,0.038
52,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,1,0,NA,0,0,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,2,3,NA,NA,NA,0.055,0.379,1,0,0,0,0.291,0.292,0.293,0.295,0.295,0.297,0.3,0.3,0.303,0.305,0.307,0.305,0.299,0.299,0.294,0.294,0.291,0.288,0.288,0.288,0.287
53,0,NA,0,NA,0,0,NA,0,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,1,0,NA,NA,0,NA,0,1,NA,0,0,1,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,1,NA,0,0,1,0,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,3,2,3,2,5,0.411,0.97,0.776,0.471,0.97,1,0.56,0.56,0.56,0.558,0.56,0.559,0.559,0.557,0.559,0.558,0.557,0.558,0.557,0.554,0.548,0.548,0.545,0.542,0.542,0.542,0.542
54,NA,NA,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,0,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,3,4,NA,NA,NA,0.02,1,1,0,0,0,0.181,0.182,0.179,0.179,0.18,0.17,0.169,0.171,0.174,0.172,0.169,0.158,0.17,0.167,0.163,0.161,0.158,0.157,0.157,0.154,0.153
55,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,0,0,NA,NA,0,0,NA,NA,1,NA,NA,1,0,0,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,1,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,3,3,NA,NA,NA,0,0.916,1,0,0,0,0.196,0.193,0.192,0.188,0.192,0.188,0.185,0.178,0.179,0.171,0.17,0.168,0.166,0.163,0.15,0.139,0.122,0.114,0.114,0.109,0.109
56,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,1,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,0,NA,1,NA,0,NA,NA,NA,0,NA,5,2,3,NA,NA,NA,0.826,1,0.957,0,0,0,0.083,0.084,0.089,0.089,0.09,0.09,0.09,0.086,0.081,0.081,0.08,0.078,0.074,0.066,0.064,0.064,0.061,0.063,0.063,0.059,0.055
57,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,NA,1,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,0,2,3,0.069,0.712,0.55,0.301,0.712,1,0.505,0.492,0.496,0.499,0.499,0.497,0.501,0.504,0.507,0.511,0.514,0.514,0.513,0.509,0.504,0.497,0.492,0.488,0.486,0.486,0.485
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,5,3,0,2,NA,0.188,1,0.882,0.674,0.994,0,0.093,0.089,0.086,0.087,0.085,0.083,0.082,0.083,0.084,0.083,0.083,0.081,0.079,0.076,0.078,0.08,0.08,0.081,0.081,0.081,0.074
